game_date,home_team,home_team_score,visitor_team_score,visitor_team,season,status,home_team_win
2024-03-04,SAC,109,113,CHI,2023,Final,False
2024-03-04,LAL,116,93,OKC,2023,Final,True
2024-03-04,MIL,103,96,LAC,2023,Final,True
2024-03-04,BKN,102,106,MEM,2023,Final,False
2024-03-04,MIN,115,101,POR,2023,Final,True
2024-03-04,UTA,117,113,WAS,2023,Final,True
